#
DoubleFastGelu.standard           100  thrpt    5    466.566 ±  413.920  ops/s
DoubleFastGelu.standard           200  thrpt    5     74.845 ±    1.122  ops/s
DoubleFastGelu.standard           400  thrpt    5      7.124 ±    0.612  ops/s
DoubleFastGelu.vectorized         100  thrpt    5    812.013 ±  386.520  ops/s
DoubleFastGelu.vectorized         200  thrpt    5    101.106 ±   41.031  ops/s
DoubleFastGelu.vectorized         400  thrpt    5      9.385 ±    1.006  ops/s
FloatFastGelu.standard            100  thrpt    5    439.738 ±  301.570  ops/s
FloatFastGelu.standard            200  thrpt    5     89.239 ±    3.599  ops/s
FloatFastGelu.standard            400  thrpt    5      8.410 ±    4.869  ops/s
FloatFastGelu.vectorized          100  thrpt    5    962.384 ±  138.710  ops/s
FloatFastGelu.vectorized          200  thrpt    5    202.873 ±   89.032  ops/s
FloatFastGelu.vectorized          400  thrpt    5     17.294 ±    6.056  ops/s
